"count","country","terminatingruleid","clientip","uri"
"100","CA","LB_india_US_unblock","173.252.95.117","/bra-online/"
"99","CA","LB_india_US_unblock","173.252.95.2","/bra-online/"
"99","CA","LB_india_US_unblock","173.252.95.14","/bra-online/"
"99","CA","LB_india_US_unblock","173.252.95.10","/bra-online/"
"99","CA","LB_india_US_unblock","173.252.95.6","/bra-online/"
"98","CA","LB_india_US_unblock","173.252.95.29","/bra-online/"
"97","CA","LB_india_US_unblock","173.252.95.22","/bra-online/"
"97","CA","LB_india_US_unblock","173.252.95.19","/bra-online/"
"96","CA","LB_india_US_unblock","64.233.172.108","/"
"96","CA","LB_india_US_unblock","64.233.172.104","/"
"95","CA","LB_india_US_unblock","173.252.95.11","/bra-online/"
"95","CA","LB_india_US_unblock","173.252.95.4","/bra-online/"
"93","CA","LB_india_US_unblock","173.252.95.1","/bra-online/"
"93","CA","LB_india_US_unblock","173.252.95.3","/bra-online/"
"92","CA","LB_india_US_unblock","173.252.95.9","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.111","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.31","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.118","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.21","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.16","/bra-online/"
"91","CA","LB_india_US_unblock","173.252.95.28","/bra-online/"
"90","CA","LB_india_US_unblock","173.252.95.13","/bra-online/"
"90","-","LB_india_US_unblock","66.249.82.135","/media/ox/sizeguide/small/768-x-240-gif.gif"
"89","CA","LB_india_US_unblock","173.252.95.15","/bra-online/"
